company_name,contact_person,whatsapp,phone,city,state,product_interest,source,verified_date,notes
Uno Hardware,,+2348066904452,+2348066904452,Lagos,Lagos,Cabinet Hinges & Drawer Slides,Instagram,2026-04-10,家具五金批发，铰链 + 导轨
Zelah Hardware,,+2348086851373,+2348086851373,Lagos,Lagos,Furniture Handles & Hinges,Instagram,2026-04-10,家具拉手 + 铰链
Living Space Furnitures,,+2348032767835,+2348032767835,Alaba Market Lagos,Lagos,Sofa Legs & Furniture Fittings,Instagram,2026-04-10,沙发脚 + 家具配件，Alaba 国际市场
Furniture Hardware Nigeria,,+2348062222957,+2348062222957,Lagos,Lagos,Drawer Slides & Cabinet Handles,Facebook,2026-04-10,导轨 + 橱柜拉手批发
Kpakokitchens,,+2347031059039,+2347031059039,Lagos,Lagos,Drawer Slides & Hinges,Instagram,2026-04-10,导轨 + 铰链供应商
Black Metal Furniture Leg Supplier,,+2348155303207,+2348155303207,Fagba Lagos,Lagos,Sofa Legs & Furniture Legs,Instagram,2026-04-10,沙发脚 + 家具脚批发
Winnyz Furniture,,+2348136298279,+2348136298279,Ilupeju Lagos,Lagos,Furniture Handles & Hinges,Facebook,2026-04-10,家具拉手 + 铰链，工厂直销
Furniture Accessories Store,,+2347065059748,+2347065059748,Mushin Lagos,Lagos,Cabinet Handles & Fittings,Instagram,2026-04-10,橱柜拉手 + 配件
Sandgrouse Furniture,,+2348033006666,+2348033006666,Lagos Island,Lagos,Furniture Hardware & Fittings,Instagram,2026-04-10,家具五金 + 配件，实体店
Wardrobe Pipe Supplier,,+2349028463055,+2349028463055,Ogidi Anambra,Anambra,Iron Pipes & Wardrobe Fittings,Facebook,2026-04-10,衣柜铁管 + 配件批发
